SentimentText,SentimentPolarity
유통기한도 2024 년까지라 더 좋아요.,1
1시간 가량 붙이고 있으면 흡수력이 좋아 ,1
효과가 있길 바라고 있어요,0
제품 구성은 만족합니다만,1
스킨용기가 펌핑할때 뒷촉으로 많이 튀어나갑니다,-1
점성이 부드럽고..,1
촉촉하니좋아요..,1
시원하고,1
끈적이지 않고,1
잘 스며들어요,1
저렴하게 구매했어요,1
큐어크림은 바르고 나면  과한 느낌에 사용감때문에 닦아내서 손에 바르게 되네요,-1
알로에 성분의 특성 이겠죠,0
그만큼 효능이 있으려니 생각합니다,0
"스킨,로션은 산뜻한 냄새가 나네요.",1
향이 거의 나지않아 좋네요.,1
스킨은 촉촉하게 잘쓰고 있는데,1
로션은 흡수가 잘 안되네요,-1
큐어크림은 바르면 얼굴에 끈적하게 되지만,-1
다음날 피부가 아주 촉촉해지네요~~^^,1
이렇게 좋은제품을 이가격에. ,1
OOO알로에 초대박구성 너무좋아요,1
모공이 쫀쫀해지는 느낌~ ,1
피부가 매끈하고 ,1
투명해져 ,1
도자기 피부될려나바요,1
촉촉하고 ,1
향도좋고 ,1
발림성도 좋네요,1
저렴하게 잘 샀어요. ,1
촉촉하고 좋아요.,1
투명해지고,1
피부가 쫀쫀해지는게 느껴져요!,1
촉촉하고 ,1
향기도 그렇게 진하지 않고 은은한 장미향이 납니다 !,1
사용감이 너무 무겁지 않아서 좋아요 ㅎㅎ,1
저렴하게 구입하여,1
건성  피부인 사람들에게 권해드립니다~,1
향이 너무좋아요~~ ,1
점성이 묽지 않아 좋네요^^,1
트러블없이 잘 써요.,1
"발림성 좋아요.""""",1
가격이 좋아서,1
유효기간도 24년으로 좋아서 더욱 만족합니다.,1
80매나 되서 지인들과 나누어쓰기 좋아요,1
구성도 넉넉하고,1
사은품도 좋습니다,1
제형이 젤타입이라 붙이는게 쉽지 않지만 ,-1
얼굴에서 광이나요~,1
"피부 탱탱해지고, ",1
촉촉해져요~,1
이건 제형이 흘러내리지도 않고,1
촥 달라붙어서 흡수되는게 좋아요,1
피부가 투명해지면 기분 좋아져요,1
쿨링감도 있어서 피부가 시원합니다,1
속건성 심했던 저인데 점점 좋아졌어요,1
에센스 제형이 흘러내리지않고,1
얼굴에 에센스가 찰싹붙어서 더 좋아요~,1
탱탱한거 같고 좋아요~^^,1
액체제형의 흐름도 없고,1
오래 붙이고 있어도  촉촉하니 괜찮아요.,1
얼굴이 팽팽 해졌다고 대박이죠 .,1
콜라겐 성분 함유가 마음에 들어  구입.,1
에센스 과하지 않아서 좋네요!,1
건조하려나? 했는데 전혀 안 그러는게 신기해요! ,1
촉촉하고,1
피부에 부담없고,1
트러블도 안 나서,1
쿨링감도 너무 좋네요,1
촉촉하고 ,1
스며드는 느낌이 좋은 제품이예요,1
토너만으로도 피부가 촉촉해져요~,1
가격도 착하고 ,1
성분도 좋습니다.,1
토너가 점액이 끈적하고,-1
향기도 상당히 강합니다.,-1
피부에 발라봐도 살짝 따가운 느낌이 나지만,-1
금방 모공 속으로 사라집니다.,1
항이 순하고 ,1
촉촉해요.,1
가격좋구 ,1
발림성좋구 ,1
수분감은 좋고,1
향도 나쁘지 않습니다.,1
좋은 제품 구성이네요. ,1
두 제품 모두 에센스도 충분하고,1
원단도 자극없고 좋습니다.,1
알로에는 순해서 늘 찾게되네요.,1
여드름 심한 딸도 부작용없어 같이 씁니다.,1
 좀 제형이 끈적인듯,-1
겨울에나 사용 해야할듯요,-1
큐어크림이 제형이 좀 부드러웠으면 좋겠어요,-1
너무 크림제형이  단단하다고 해야하나?,0
제형이 끈적이고,-1
 제형이 단단하다 보니 안쓰게 됩니다,-1
큐어크림 말고 스킨로션을 더 주면 좋겠습니다,0
가격좋아요 ,1
품질도 만족해요,1
저렴해서 선택했는데,1
구성도 좋고 ,1
사용해보고 효과있고 잘 맞으면 재구매해서 사용할 마음 있습니다.,1
저렴하게 잘 산 듯해요~,1
향도좋고,1
촉촉하네요~,1
끈적이지 않고,1
향이 좋아요,1
구성이 아주좋아요.,1
저렴히 잘 구매했습니다~,1
화아트닝제퓸이라 미백에 좋을것갖고  ,1
가성비좋고 ,1
은은향향도 좋습니다,1
가격에  비해 양이 많고,1
발림성 좋습니다,1
가격 대비 괜찮은데,1
펌프 할 때 잘 안 눌러져 ,-1
사용하기가 조금 불편합니다.,-1
할인해서 저렴하게 구입했고,1
후기도 좋아서 사용하기 전인데 기대됩니다^^,0
아쿠아 화장품 여름에 쓰기 좋아요,1
끈적이지 않고 ,1
상큼해요,1
"기초화장품을  바르고  30분이 지나면 *눈가  주름이 지고 ,",-1
당겨서  고민이  생겼어요 ㆍ~~,-1
좋은가격에  살수있어서  고마워요 ㆍ,1
촉촉하고,1
피부에  잘 스며드네요,1
OOO기본제품이넘싸게나와서,1
일단나가는돈이20만원절약한거니까 그걸로대만족,1
사용후 끈적임 없고 ,1
촉촉하고 ,1
매끄러워요,1
가격대비 너무 구성이 짱이고,1
피부가 촉촉해유,1
유통기한이 2024년까지.,1
저렴한 가격에 잘 구매했습니다.,1
가격좋고,1
구성좋아 득뎀구입했네요 ,1
유통기한도 넉넉한게  흡족합니다,1
"저렴한가격,",1
"사용기간도 길고 ,",1
구성이 좋고,1
가격이 부담없어서 ,1
가격이저렴하고,1
품질도좋아요,1
바르니 촉촉해요,1
진정효과 기대해 봅니다.,0
합리적인가격에 ,1
용량도 마음에들어요~~,1
유통기한2024년까지넉넉하고,1
가격도좋고,1
적립금까지받는다니 정말잘샀어요,1
민감한피부인데 저한테 잘맞아요,1
피부를 진정시켜주네요 ,1
시어버터향는 개인적으로 좀 안좋아하는데 없는걸루 신제품이 개발됬음 좋겠네요,-1
촉촉하니,1
발림성도 좋고,1
시원한느낌도 들어요,1
크림제형은 립밤처럼 그느낌입니다,0
끈적거리지는않아요,1
무난하게 끈적임없이 피부가 편안합니다,1
꾸덕한 제형의 크림 딱풀마냥,0
얼굴에 바르고 아침에 일어나면 보들보들 ,1
촉촉해요,1
피부 진정효과가 좋네요~,1
피부트러블에도 저자극인듯,1
제피부가 건성이라 김정문 알로에가 잘 맞아요,1
피부당김 각질있는데 이제품쓰고 나서 없어졌어요,1
피부톤도 환해지고 좋아요,1
순하고 ,1
향도 은은해서 좋아요,1
촉촉하고,1
끈적이지 않는 것도 맘에 듭니다.,1
가격이 너무 싸니까  정말 좋네요,1
여기제품 품질도 좋아요,1
가성비가 좋아요,1
사은품도 좋고,1
진정효과가있어서 그런지 나아지는것같습니다.,1
더 좋은 효과 기대해 봅니다.,0
가격도 맘에들구요.,1
흠 을 꼽자면 큐어크림을  단독으로쓰면 얼굴이 화끈거려요. ,-1
 화장품치고 약품향이 좀 강하구요.,-1
알로에겔코림과 썩어 사용하니 순하고 괜찮네요.,1
보습이  필요한제게 딱입니다.,1
보습력이 참좋으네요,1
잘 스며 들지는 않고 시간이 좀 걸리네요,-1
피부가 악건성이라 그런지 인텐시브큐어크림을 바르니 좀 화끈 거리는데요,-1
인텐시브큐어크림을 바르니 좀 화끈 거리는데요,-1
품질이 그냥 3천원짜리 포트로놀리움제품인것 같아요,-1
크림 바르니 끈적한게  전 별로 ~~~,-1
흡수력이 떨어져요,-1
제형이 바세린처럼 느껴져요ㅠㅠ,-1
큐어크림 바르고 촉촉해서 걱정이 사라졌어요~,1
김정문 알로에 제품 품질 최고랍니다^^,1
촉촉해서 걱정이 사라졌어요~,1
남편이 향도 진하지않고,1
바르고난후 촉촉하니 좋다고합니다~,1
크림은 제형이 좀 많이 뻑뻑해서 좀 그렇고 ,-1
촉촉해서  좋으네요,1
향이 조금 낯설기도 하지만 ,0
타홈쇼핑에 비해 저렴함.,1
향은 괜찮고 ,1
 순한것 같응,1
보습은 별로이지만,-1
 크림은 발림성이 좀 괜찮은것 같음,1
"스킨,로션은 향이 은은하고",1
피부가 진정되는 듯한 ,1
시원한 느낌이 있어,1
그렇게 효과가 좋다는것은 아직 못느끼지만,0
저가격에 저품질정도면 계속 쓰고싶어요,1
촉촉해서 그럭저럭  쓸만하네요.,1
건성피부인데 촉촉하게 피부보습에 좋아요,1
촉촉하게,1
피부보습에 좋아요,1
순하고,1
흡수력이 완전별로~,-1
너무  끈적거려서  얼굴에 바를수가 없네요,-1
건성피부라 피부가 너무건조해서 계속 사용하는제품입니다,1
저렴하게 구매하게되어 넘조아요^^*~~,1
흡수력도 부족하고,-1
끈적거림이 너무 오래 갑니다~~,-1
스킨은 산듯한데 ,1
로션및 크림은 아무래도 끈적임이 있는것 같아요ㅠ,-1
여름에 지친 피부에 바르면 자극 없이 좋을 것 같습니다,1
자극 없이 좋을 것 같습니다,1
수분감이 많아 ,1
사용후 촉촉하고,1
유분 많은 울 애들에게 딱 좋아 필수템이 되었어요.,1
스킨로션은 산뜻해서 괘안은데,1
그림은 너무 기름져서 잘 안쓰게 되네요,-1
제형이 너무 딱딱해서,-1
바르기가 힘들고,-1
바르고나서 끈적거림이  너무 심해요,-1
가격 최고.,1
품질 또한 맘에 들어요.,1
역시 품질은 김정문 알로에 !,1
구성도 완전 짱,1
두루두루 편하게 아주 유용하게 사용하고있습니다,1
촉촉을 넘어서 로션은 두세번 롤링하면 썬크림처럼 백택이생겼다가 흡수되서 불편해요,-1
큐어는 흡수가 잘 안되서너무겉도는 느낌이네요,-1
끈적임없고,1
산뜻하니 좋아요,1
향도 좋아요,1
정말 촉촉하고 ,1
발림성도 좋습니다,1
늘~이맘때 가을이 되면 쓰는 최애입니다~,1
건조하고  각질일어날때   꾸준히 쓰면 피부가 촉촉하니 넘좋아요~^^,1
아토피와  추울때 한랭 두드러기 생겨 효과가 좋아 잘사용했어요,1
크림이 흡수가 잘안되고,-1
너무 번지르르해보입니다.,-1
발림성이좋고 ,1
촉촉하고 좋네요~,1
향이 강하지않고 은은해 맘에 속들고,1
유분기가 많지않은데도,-1
당기지않아 아주 좋습니다.,1
보습력이 진짜 좋네요 특히 크림이 ~ ,1
여름엔 사용하기 어렵지 않나 할만큼 보습력이 좋아요,1
수분진정관리가 탁월하네요,1
대박 제품구성 좋아요,1
효과는 아직 모르겠지만 꾸준히 써 보려구요,0
큰통 크림이 어찌나 시원한지^^,1
악건성인데 촉촉해 좋네요,1
촉촉해 좋네요,1
향도 맘에들어요,1
촉촉함이 유지되어 참 좋으네요,1
아침에 일어나 보니 촉촉함이 유지되어 참 좋으네요,1
스킨 로션이 생각보단 산뜻하지않고 ㅠㅠ,-1
크림은 촉촉하니 조아요,1
너무너무 촉촉해서 ,1
밤에 덤뿍 바르고자면 아침엔 얼굴이 환해져요,1
제형이 쫀쫀합니다 ,1
향도강하지않고 ~,1
가격이  저렴해서요.,1
건성인데 바르고 나면 촉촉하니 땡기지도 않고 끈적임도 없고 피부가 쫀쫀해지는거 같아요~,1
촉촉하니,1
땡기지도 않고 ,1
끈적임도 없고 ,1
피부가 쫀쫀해지는거 같아요~  ,1
입술에 크림을 바르는뎌 효과가 정말 좋아요~,1
규어크림 보습 짱이네요.,1
촉촉해서 건조한 팔다리는물론 전신에  모두 사용하니  빨리 없어지겠어요~ㅎ,1
팔다리는물론 전신에  모두 사용하니 ,1
여드름 피부에 역시 최고효과네요 강력추천합니다,1
가격도 저렴합니다.,1
스킨로션은 냄새가거의없어서 괜찮은데,1
밤은 냄새가 남자 스킨로션 냄새 같기도 하고 ,-1
머리아픈향이 나서 그게미스예요ㅜㅜ,-1
향이 어지럽더라구요,-1
 기름진 느낌이라고 해야되나,-1
암튼 계속써봐야좋은지아닌지알것같아요,0
촉촉하게,1
잘스며들어서 좋은것같아요^^,1
흡수가 잘 안되고,-1
많이 끈적거립니다...,-1
피부 트러블 주의!!!,-1
피부속당김이없어져서 너무좋아요~^^,-1
품질이 최고입니딘,1
얼굴에 잘 스며들지 않고 걷돌아,-1
바르기 힘드네요 ㅠㅠ,-1
제형은 밤타입이라 ,0
잘 안퍼지고 안발려요,-1
사용감은 찐덕찐덕,-1
얼굴은 안땡겨요~,1
보습력은 좋은데,1
흡수가 너무 느려서,-1
급하게 화장하게되면 화장이 잘안먹고 밀릴것같아요.,-1
용기도 펌프형이 아니라서,-1
사용하기가 좀 불편합니다.,-1
알로애 제품 쓰고 피부가 밝아지고,1
꼭 피부 개선 되었으면 좋겠네여^^,0
용량은 원래 저정도 맞는건가요ᆢ,-1
너무 끈적여서 전 저녁에만 바를려구요ㆍ,-1
바르고 10분만에 가렵고 붉어지고...,-1
자극이 너무 심해요,-1
건조했던 피부가  바르는 순간 보들보들 하니 참좋아요,1
발림성 좋고,1
저렴한가격에 한상자 가득하네요,1
보들보들 하니 참좋아요,1
너무 너무 촉촉하고,1
얼굴 당김없습니다,1
에센스 촉촉하고 ,1
끈적거리지 않고 바로 흡수되어서 ,1
피부에  시원하고 좋은 것 같아요,1
가격  대비해서 대용량세트로 구입할수  있어서 마음에 들어요,1
지성피부에도 끈적거리지 않고  바로 흡수되어서  피부에  시원하고 좋은 것 같아요,1
가격에  만족하고,1
 피부에  바르면  피부가  좋아지는것  같으  느낌이  드네요~,1
용량도많고 ,1
부담없이 촉촉하게,1
좋은가격에 잘 구매했습니다.,1
향도 좋고,1
발림성도 좋다고 하시네요^^,1
대용량이라서 구매했는데 ,1
크림 내용물을 열어보니 양이 많이 덜들어있네요,-1
제형이 쫀쫀하고,1
촉촉 ㅎ,1
 향도 진하지 않아서 좋고,1
구성이 좋게 나와서 잘쓸듯해요,1
대용량으로 좋아요...,1
구성도 다양해서 나눠쓰려구요,1
부담없는 가격에 구매할수있고,1
촉촉한 효과는 다른화장품과 비교해 더 좋다고 하시네요~,1
구성품으로 영양크림이 하나더 있어 좋아요~^^,1
향이 좀 강해요,-1
전 향이 좋은데 향 민감하신분들은 참고 하셔요 ~,0
 피부가 땡기신다고 하시더니 참존  쓰시고 덜 당기고,1
촉촉하다고 좋아 하시네요.,1
내건성피부에도 잘맞고,1
제품구성 내용물도 많고,1
이번엔 아이크림이 구성품으로 포함되지않아 좀 아쉬웠어요.,-1
딸한데도 제품이 잘맞아서,1
좋은구성이 보여 구매했는데 역시나 대만족해요,1
기능성이 많아 환절기에 쓰면 좋을것같아요.,1
저렴한 가격이고,1
하루종일 촉촉하고 좋아요,1
촉촉하고 좋아요,1
쿠폰사용해서 아주 저렴하게 좋은 제품 구매했어요.,1
건조한 건성피부에 딱인거 같아요,1
향도 좋고 ,1
바르고 나면 촉촉하니 좋아요~,1
발림성이 좋아요,1
피부가 쫀쫀해 지는느낌 이랄까  정말 좋네요 ,1
저렴하게 세셋트 잘구매한것 같아요,1
콜라겐성분이 들어있어서 그런가,1
로션제형이  쫀쫀 ㆍ,1
촉촉,1
너무발림성이 조아요,1
"지복합이 쓰기에는 너무 번들거리네요.., ",-1
"너무 번들거리네요.., ",-1
"흡수도 잘 안되고,",-1
겉도는 느낌... ,-1
저한테는 안맞아요,-1
잘 스며 들지도 않고..,-1
향기가 목욕탕 화장품 같아요 ,-1
크림은 화장 전에 발랏더니 화장 다 밀려요,-1
정말 저렴하게 샀고,1
지성피부인데 써보니 괜찮네요.,1
피부당김이 있고,-1
많이 촉촉하지는 않은거같아요,-1
가격대박,1
피부가매끈해졌어요,1
이가격이품질계속오래 유지해주세요,1
이품질계속오래 유지해주세요,1
구성이나 용량이 푸짐해서 너무 맘에 들었어요. ,1
용량이 푸짐해서 너무 맘에 들었어요. ,1
유통기한두 2023년까지라 넉넉하니 너무 좋네요. ,1
구성이 좋고,1
"펌프용기로 사용하는 스킨,에멀전이라 좋고",1
참마성분이 들어간 제품은 참존에서 나온게 첨인듯 ,1
싸게   잘  구매해씀니다.,1
토너용기가  누르는 부분이  뻑뻑해서  잘  안눌리며  튀어져 나옵니다.,-1
구성은  좋으나..,1
전체적으로 화장품 농도가..묽다고해야하나?,-1
흡수력도 별루고..,-1
"바르고나서도..매우 얼굴이 당기고,",-1
건조합니다..,-1
저렴한가격에 좋은제품득템한기분,1
혼자서쓰면 10개월정도 쓸정도 용량인것 같네요.,1
진짜..이가격에   넘 좋아요,1
겨울철  피부에  넘적합하고...,1
피부도  맑아지는거  같고..,1
특히  보습이  눈에  보이게  좋네요..,1
완전 아저씨향!,-1
냄새가 옛날 사우나에서 쓰던거랑 비슷해요,-1
크림 로션에 바디샴푸까지 구성ㅇㅣ 알차서 좋고 ,1
한가지 아쉬운점은 펌프식용기이면 손에 힘이 없는 아부지도 쓰실수 있는데 그렇지 못한 부분이 아쉽네요.,-1
잔주름도 옅어지고,1
촉촉해서 감탄하면서  겨울의 피부를 위해  잘  바르고 있답니다ㆍ ,1
제품 구성중 아이크림이 좋은거 같아요 ,1
보습이 좀더 보완되면 효과가 좋을꺼 같아요,0
가격도 저렴하고,1
피부에 잘 흡수되고 좋아요,1
번득 거리기만 하지 ,-1
깊숙이 스며 드는  느낌 없어요,-1
여드름이  많이  났는데  조금  깨끗해진것  같아요,1
피부가 맑아졌어요,1
"보습에 좋다고 해서 손가락끝, 발뒤꿈치, 입술에 바르고 있는데 좋은것 같네요.",1
최다구성 좋습니다.,1
간지럽지 않고,1
보습력이 너무 좋다고,1
악건성 피부에 정말 이만한 화장품이 없네요~^^,1
피부가 극건성 특이 체질이라 기초화장품을 오래 쓰질 못하는 데트러블없이 아직은 아무탈  없이 잘 사용하고 있습니다,1
트러블없이 아직은 아무탈  없이 잘 사용하고 있습니다,1
발뒷굼치 건조해서 큐어크림사용하라 해서  썼더니 깨끗이 좋아져서,1
효과는 좀더 사용해 봐야겠어요,0
참존 화장품 구성이 매우 좋구요.,1
가격도 착하여,1
대용량이라 매일 듬뿍 바르니 피부가 좋아진거 같아요,1
피부가 좋아진거 같아요,1
끈적임이 없어,1
바르자마자 흡수되고,1
촉촉함은 별로 못 느끼겠지만,-1
지성피부인분도 바르면 괜찮을 것 같네요,1
여름에 사용하면 좋을 것 같아요,1
부드럽게 발리고 ,1
트러블이 없습니다,1
유해성분이 없으니 믿고,1
꾸준히 사용해서 효과 보면 좋겠습니다. ,0
내피부에잘맞아서 여러번 주문했어요. ,1
요즘같은계절에 아주 좋습니다.,1
촉촉하니,1
"트러블도없이 잘쓰고 있습니다,",1
피부가 건성인데 촉촉해져요.,1
촉촉해져요.,1
향은 별로네요.,-1
제형은 연고 느낌이네요.,0
번들거립니다.,1
피부 속이 수분으로 차있는 느낌이 들어요.,1
겨울철 건조함이 심했는데 건조함이 사라져서 좋네요.,1
 하루종일  얼굴이 편안하네요. ,1
효능이 좋아요.,1
건조함이 사라져서 좋네요.,1
제형이 묽어요,-1
제형이 너무 묽네요. ,-1
용량이 조금 크면 좋겠습니다. ,-1
촉촉하고,1
부드럽습니다. ,1
피부가 부드럽네요.,1
촉촉하고,1
적당히 유분기도 있습니다,1
용기가 짜서 쓰는거라 위생적이고,1
"이게 원래 향이 이런건지, 뭐가 잘못된건가 싶기도 하네요",-1
"이건 향이 아니라 냄새, 그것도 안좋은 냄새가 나요",-1
발림성은 별로네요.,-1
저녁에 에센스랑 듬뿍 마사지하니 아침에 촉촉해졌습니다.,1
촉촉해졌습니다.,1
"여름에는 OOO 크림만 바르고, 겨울에는 세럼후에 OOO 크림만 발라도 당기지 않고 좋습니다. ",1
겨울에는 세럼후에 OOO 크림만 발라도 당기지 않고 좋습니다. ,1
당기지 않고 좋습니다. ,1
연고 냄새 같아 별로였는데,-1
가격이 저렴합니다.,1
 품질이 너무 좋습니다.,1
크림 냄새는 별로에요.,-1
보습은 좋은 것 같습니다.,1
끈적거림이 없다는데 끈적여요.,-1
흡수력은 좀더 사용해 봐야할 것 같아요.,0
피부가 많이 건조한데 이 제품을 바르면 촉촉하고 좋아요. ,1
촉촉하고 좋아요.,1
피부가 민감성이라 자극이 없어서 이것만 사용해요.,1
자극이 없어서 이것만 사용해요.,1
향도 적당히 은은하고 좋습니다.,1
"보습은 기본이고 ,",1
발림성도 좋네요,1
테카성분도 좋아서,1
가성비 좋아서 ,1
사철 아주 잘 쓰고 있습니다.,1
유통기한 3년정도로  길어서,1
가성비 너무 좋네요.,1
아침에 바르고 저녁까지 촉촉합니다,1
촉촉합니다,1
향도 순하고 좋아요~,1
유분감이 있어서 여름엔 부분적으로 쓰고,-1
겨울에 많이 쓰면 촉촉해서 좋습니다. ,1
저에게 잘 맞는 제품이라 늘 사용합니다. ,1
촉촉한 느낌이 좋아요.,1
끈적거림 없고,1
가격도 저렴하게 구매해 잘 바르는 중입니다.,1
발림성 좋고 ,1
끈적이지않고,1
촉촉하니 좋네요.,1
시간이 지나도 속건조하지 않아서 좋습니다.,1
촉촉하고,1
흡수력좋고,1
사용감이 깔끔합니다,1
촉촉한게 ,1
보습력이 좋은 것 같아,1
가격도 저렴하게,1
건성인 제 피부에 좋은 거 같아요. ,1
지성인 분들은 끈적임이 느껴질 듯합니다. ,-1
끈적임이 느껴질 듯합니다. ,-1
민감한 제 피부에 무난하게 잘 맞아요.,1
끈적이지 않아서 좋고 ,1
제형이 부드러워 ,1
가격도 착합니다.,1
예민한 피부인데 땅김 없이 미백 효과도 있습니다. ,1
땅김 없이,1
달팽이 크림은 기름 성분이 많아서,0
점성이 끈끈합니다. ,0
수분이 오래가서 최고네요.,1
오래가서 최고네요.,1
"피부가 촉촉하고, ",1
건조함이 없어지네요.,1
피부에 윤기와 ,1
영양을 주는 것 같습니다.,1
리치한감이 있지만 건조한 편이라 잘 맞습니다. ,1
 가격이 착하고,1
가격대비 보습 잘 되네요,1
피부가 촉촉해지고,1
주름개선에 좋아 계속 쓸 제품이네요.,1
발림성도 좋고,1
촉촉해서 좋네요.,1
발림성이 좋고,1
촉촉함도 마음에 듭니다. ,1
유통기한도  넉넉하네요.,1
제형이 부드럽고,1
촉촉합니다.  ,1
발림성이랑 향은 아주 좋네요,1
향은 아주 좋네요,1
보습은 기대만큼 좋진않아요,-1
가격도 착하고,1
제품 품질은 좋습니다.,1
잘 펴 발라지고,1
촉촉합니다.,1
건조한 환절기나 겨울에 촉촉하게 보습하기 좋습니다.,1
촉촉하게 보습하기 좋습니다.,1
보습하기 좋습니다.,1
유분기도 있어서,1
피부가 건조해지지 않네요.,1
악건성이라 계절이 바뀔때마다 잘 쓰고 있어요.,1
수분크림으로 촉촉하니 좋아요,1
여드름 없애준 고마운 ○○크림입니다,1
가격이 저렴하고,1
부담이 없는 가격이라 정말 좋습니다.,1
저렴해서 여러개 쟁여놓고 듬북듬북 바를 수 있어 좋습니다.,1
향도 보습력도 무난하네요.,1
보습력도 무난하네요.,1
보습력이 좋아 ,1
덜 건조하네요. ,1
유통기한도 여유있네요.,1
피부에 잘스며 들고,1
바르고 자면 아침까지 촉촉해요,1
촉촉해요,1
산뜻해서 잘 바르고 다녀요,1
저한테 잘 맞더라고요. ,1
건조해지지도 않고,1
번들거림도 없고,1
촉촉하고,1
끈적이지 않고,1
피부에 잘 맞아요.,1
저렴하고,1
효과도 좋습니다.,1
양이 많지는 않습니다.,-1
피부에 잘 스며드네요.,1
보습과 주름에는 단연코 1등이네요,1
주름에는 단연코 1등이네요,1
촉촉함이 오래가고,1
오래가고,1
부드러워요,1
촉촉하고 ,1
발림성 좋습니다.,1
많이 바르면 약간의 끈적임이 남지만,-1
조금있으면 스며들어요.,1
향도 은은해서 크게 호불호가 없을듯 하고 ,1
유효기간이 넉넉합니다.,1
가격이 착해서,1
겨울철에는 특히 많이쓰게 됩니다.,1
가성비 좋습니다.,1
가격도 좋고,1
수분감도 뛰어나고,1
건성인데 쓰면 쓸수록 촉촉해서 좋습니다. ,1
촉촉해서 좋습니다. ,1
제형이 쫀쫀하니,1
잘 스며들어요.,1
착한 가격과,1
높은 품질에 만족합니다. ,1
촉촉하니 좋네요.,1
주름개선 효과가 있어 좋아요. ,1
가격대비 좋네요.  ,1
발림성이나 향도 좋고 ,1
 향도 좋고 ,1
보습도 오래 유지되는 거 같습니다,1
오래 유지되는 거 같습니다,1
냄새 말할 것도 없이 좋아요,1
보습 좋고,1
가격도 좋습니다,1
